"Service domain","Address","Service url","Country","Version","# Chains","Status","Scanned Block Height","Balance (POKT)","Stake Type","Output Address","Output Balance (POKT)","Stake Weight","Stake Amount (POKT)","Validator","Jailed","Jailed","Pending Relays","Est. Pending Rewards","Stake From","Missing Blocks","Jailed Blocks","Jailed Until","Unstaking Time"
"easy2stake.com","cb189d4e3766a3bedb4d903f017147fd58becf2a","https://pocketv8.easy2stake.com:443","United States","RC-0.9.1.1",15,"Staked",74620,1102.7211,"Custodial","cb189d4e3766a3bedb4d903f017147fd58becf2a",1102.7211,2.362669816893089,65000,"Yes","No","No","-","-",73836,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","d4dc0db1054b06180803c8806cdd046b956d3faf","https://pocketv9.easy2stake.com:443","United States","RC-0.9.1.1",15,"Staked",74620,3334.5529,"Custodial","d4dc0db1054b06180803c8806cdd046b956d3faf",3334.5529,2.362669816893089,65000,"Yes","No","No",3222,6.9689,73836,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"easy2stake.com","d77c522cb31ff43c64d4a72e7a77c1da94d3dd20","https://pocketv10.easy2stake.com:443","United States","RC-0.9.1.1",15,"Staked",74620,2178.4606,"Custodial","d77c522cb31ff43c64d4a72e7a77c1da94d3dd20",2178.4606,2.362669816893089,65000,"Yes","No","No","-","-",73836,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"uadevops.com","13e733fe3a50b1785eca0a0fa989a434563ad7ae","https://pocket.uadevops.com:443","Germany","unknown",15,"Staked",74620,70583.0999,"Custodial","13e733fe3a50b1785eca0a0fa989a434563ad7ae",70583.0999,2.362669816893089,66101,"Yes","No","No","-","-",74600,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"c0d3r.org","791753adec278ea7270b70cf8f864eb1f09b0468","https://val1631211886.c0d3r.org:443","United States","RC-0.9.1.1",15,"Staked",74620,74.1091,"Custodial","791753adec278ea7270b70cf8f864eb1f09b0468",74.1091,2.362669816893089,70000,"Yes","No","No",15,0.0324,73212,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"c0d3r.org","ac089bbab8e24f5dd5cf8b8197f6bd8b5674dbe4","https://val1631211869.c0d3r.org:443","United States","RC-0.9.1.1",15,"Staked",74620,32.0736,"Custodial","ac089bbab8e24f5dd5cf8b8197f6bd8b5674dbe4",32.0736,2.362669816893089,70000,"Yes","No","No","-","-",73211,0,0,"Jan 1, 0001 12:00 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","08ba0fa8de0c18eb35eade74eca3ca29ddd38918","https://mr001.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1049.2688,"Custodial","08ba0fa8de0c18eb35eade74eca3ca29ddd38918",1049.2688,2.362669816893089,79999.92,"Yes","No","No",31363,67.8352,69218,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","096ce1a391da3a85e0cc940bd7f01af1f1fb5bd5","https://mr004.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,1388.4803,"Custodial","096ce1a391da3a85e0cc940bd7f01af1f1fb5bd5",1388.4803,2.362669816893089,79999.92,"Yes","No","No",11,0.0238,69218,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","37dc56db2942c643870fdb3c7a128cd791d94786","https://mr005.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,3619.3876,"Custodial","37dc56db2942c643870fdb3c7a128cd791d94786",3619.3876,2.362669816893089,79999.92,"Yes","No","No",13507,29.2144,69218,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
"node-river-001.com","50a144fd074f799dcb0c877f58035fd5836e13ce","https://mr006.node-river-001.com:443","United States","RC-0.9.1.1
",12,"Staked",74620,2390.9867,"Custodial","50a144fd074f799dcb0c877f58035fd5836e13ce",2390.9867,2.362669816893089,79999.92,"Yes","No","No",44606,96.4786,69218,0,0,"Sep 6, 2022 2:47 AM","Jan 1, 0001 12:00 AM"
